Model,Dataset,Batch Size,Learning Rate,Zero Stage,Loss Function,Epochs,Epoch Progress,Throughput,CPU Usage,Memory Usage,GPU Usage,GPU Memory Usage,Total Training Time,Accuracy,Precision,Recall
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,1,180.19,19.42,27.82,99.39,2848.61,277.49,11.15,0.14,0.22
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,2,180.68,19.78,28.33,99.58,2851.00,553.46,17.84,0.37,0.36
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,3,180.77,19.91,28.35,99.30,2851.00,829.80,24.35,0.51,0.48
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,4,180.80,19.99,28.40,99.43,2851.00,1106.18,28.94,0.58,0.58
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,5,180.87,20.06,28.41,99.60,2851.00,1382.20,28.78,0.61,0.58
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,6,180.89,19.92,28.41,98.82,2851.00,1658.46,33.09,0.66,0.66
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,7,180.91,19.94,28.54,99.36,2851.00,1934.71,32.77,0.68,0.65
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,8,180.87,19.94,28.79,99.46,2851.00,2211.59,35.70,0.73,0.71
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,9,180.86,19.99,29.01,99.50,2851.00,2488.14,37.16,0.75,0.74
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,10,180.87,20.06,29.01,99.39,2851.00,2764.36,37.59,0.75,0.75
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,1,132.35,19.50,27.79,99.66,2481.00,377.80,7.84,0.17,0.16
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,2,128.26,19.43,28.55,99.46,2481.00,779.65,17.72,0.40,0.36
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,3,126.93,19.54,28.58,99.55,2481.00,1181.74,24.03,0.52,0.48
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,4,126.29,19.47,28.59,99.37,2481.00,1583.67,28.62,0.59,0.58
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,5,125.93,19.49,28.59,99.46,2481.00,1985.30,31.21,0.64,0.62
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,6,125.68,19.63,28.61,99.54,2481.00,2387.05,33.79,0.68,0.68
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,7,125.50,19.47,28.89,99.55,2481.00,2788.85,34.79,0.71,0.70
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,8,125.36,19.44,29.10,99.65,2481.00,3190.70,36.54,0.74,0.73
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,9,125.26,19.47,29.10,99.93,2481.00,3592.47,36.78,0.75,0.73
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,10,125.19,19.52,29.09,99.79,2481.00,3994.05,38.34,0.77,0.77
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,1,180.41,20.16,26.91,99.39,2848.61,277.15,4.94,0.03,0.10
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,2,180.66,20.13,28.80,99.01,2851.00,553.53,16.98,0.36,0.34
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,3,180.64,20.32,28.81,99.28,2851.00,830.40,22.57,0.47,0.45
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,4,180.71,20.30,28.86,99.29,2851.00,1106.76,25.16,0.53,0.51
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,5,180.69,19.98,28.88,99.40,2851.00,1383.58,29.08,0.58,0.58
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,6,180.71,19.99,28.87,99.43,2851.00,1660.09,32.19,0.64,0.65
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,7,180.68,20.34,28.87,99.27,2851.00,1937.14,32.95,0.66,0.66
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,8,180.69,20.19,28.93,99.65,2851.00,2213.75,34.21,0.70,0.68
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,9,180.70,20.13,28.98,99.38,2851.00,2490.29,35.79,0.73,0.71
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,10,180.72,20.02,28.92,99.02,2851.00,2766.74,36.30,0.73,0.73
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,1,131.36,19.46,28.15,99.77,2481.00,380.64,9.21,0.09,0.19
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,2,127.96,19.53,28.50,99.74,2481.00,781.49,17.61,0.35,0.36
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,3,126.75,19.74,28.50,99.57,2481.00,1183.39,23.64,0.49,0.47
