Model,Dataset,Batch Size,Learning Rate,Zero Stage,Loss Function,Epochs,Epoch Progress,Throughput,CPU Usage,Memory Usage,GPU Usage,GPU Memory Usage,Total Training Time,Accuracy,Precision,Recall
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,1,947.58,37.13,30.66,17.56,4253.32,52.77,32.46,0.36,0.32
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,2,947.03,37.52,30.83,17.72,4267.89,105.59,48.17,0.51,0.48
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,3,945.57,37.41,30.84,17.73,4270.29,158.64,58.27,0.59,0.58
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,4,942.71,37.25,30.89,17.37,4335.03,212.15,59.97,0.67,0.60
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,5,942.54,36.90,30.86,17.69,4369.74,265.24,66.98,0.70,0.67
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,6,941.58,37.13,30.87,17.68,4304.67,318.61,73.52,0.74,0.74
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,7,944.04,36.88,30.89,17.64,4295.51,370.75,76.34,0.77,0.76
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,8,946.00,37.09,30.90,17.67,4294.47,422.83,77.80,0.78,0.78
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,9,948.06,36.74,30.90,17.78,4294.94,474.65,78.06,0.78,0.78
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,10,948.12,36.94,30.90,17.23,4294.41,527.36,79.44,0.80,0.79
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,1,902.39,36.83,30.48,15.97,4181.46,55.41,31.14,0.33,0.31
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,2,922.05,36.66,30.52,17.60,4184.43,108.45,50.61,0.51,0.51
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,3,930.22,36.87,30.48,17.68,4184.43,161.25,60.47,0.62,0.60
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,4,935.36,36.82,30.58,17.76,4184.39,213.82,65.92,0.68,0.66
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,5,936.49,36.60,30.51,17.25,4184.37,266.95,67.74,0.72,0.68
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,6,935.82,36.63,30.41,17.09,4191.09,320.57,73.33,0.74,0.73
